Event, Value, Timestamp
Start marker, 1, 2020-03-01T19:36:57.339+01:00
Dinner has started, 1, 2020-03-01T19:36:58.251+01:00
Dinner has started, 1, 2020-03-01T19:36:58.262+01:00
Dinner has started, 1, 2020-03-01T19:36:58.274+01:00
Dinner has started, 1, 2020-03-01T19:36:58.286+01:00
Dinner has started, 1, 2020-03-01T19:36:58.298+01:00
Dinner has started, 1, 2020-03-01T19:36:58.311+01:00
Dinner has started, 1, 2020-03-01T19:36:58.321+01:00
Dinner has started, 1, 2020-03-01T19:36:58.332+01:00
Dinner has started, 1, 2020-03-01T19:36:58.344+01:00
Dinner has started, 1, 2020-03-01T19:36:58.357+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.460+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.460+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.472+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.472+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.482+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.485+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.495+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.497+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.505+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.510+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.516+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.521+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.527+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.534+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.538+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.545+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.551+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.557+01:00
Setup Cooking Table for Beans, 1, 2020-03-01T19:36:58.561+01:00
Setup Cooking Table for batter, 1, 2020-03-01T19:36:58.568+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.594+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.604+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.605+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.616+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.617+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.628+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.628+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.639+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.639+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.652+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.652+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.663+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.663+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.676+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.676+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.687+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.687+01:00
Washing up Beans, 1, 2020-03-01T19:36:58.700+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.700+01:00
Mix flower with eggs, 1, 2020-03-01T19:36:58.711+01:00
Green beans with no Thread, 1, 2020-03-01T19:36:58.739+01:00
Season Mix, 1, 2020-03-01T19:36:58.745+01:00
Green beans with no Thread, 1, 2020-03-01T19:36:58.752+01:00
Season Mix, 1, 2020-03-01T19:36:58.757+01:00
Green beans with no Thread, 1, 2020-03-01T19:36:58.762+01:00
Season Mix, 1, 2020-03-01T19:36:58.769+01:00
