Event, Value, Timestamp
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.605+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.619+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.630+01:00
Beans washed, 1, 2020-03-01T18:43:20.642+01:00
Dinner time, 1, 2020-03-01T18:43:20.024+01:00
Dinner time, 1, 2020-03-01T18:43:20.076+01:00
Dinner time, 1, 2020-03-01T18:43:20.089+01:00
Dinner time, 1, 2020-03-01T18:43:20.099+01:00
Dinner time, 1, 2020-03-01T18:43:20.112+01:00
Dinner time, 1, 2020-03-01T18:43:20.122+01:00
Dinner time, 1, 2020-03-01T18:43:20.134+01:00
Dinner time, 1, 2020-03-01T18:43:20.146+01:00
Dinner time, 1, 2020-03-01T18:43:20.159+01:00
Dinner time, 1, 2020-03-01T18:43:20.170+01:00
Family is hungry, 1, 2020-03-01T18:43:20.181+01:00
Family is hungry, 1, 2020-03-01T18:43:20.192+01:00
Family is hungry, 1, 2020-03-01T18:43:20.202+01:00
Family is hungry, 1, 2020-03-01T18:43:20.213+01:00
Family is hungry, 1, 2020-03-01T18:43:20.224+01:00
Family is hungry, 1, 2020-03-01T18:43:20.235+01:00
Family is hungry, 1, 2020-03-01T18:43:20.247+01:00
Family is hungry, 1, 2020-03-01T18:43:20.258+01:00
Family is hungry, 1, 2020-03-01T18:43:20.270+01:00
Family is hungry, 1, 2020-03-01T18:43:20.281+01:00
Start cooking, 1, 2020-03-01T18:43:20.293+01:00
Start cooking, 1, 2020-03-01T18:43:20.306+01:00
Start cooking, 1, 2020-03-01T18:43:20.317+01:00
Start cooking, 1, 2020-03-01T18:43:20.329+01:00
Start cooking, 1, 2020-03-01T18:43:20.340+01:00
Start cooking, 1, 2020-03-01T18:43:20.355+01:00
Start cooking, 1, 2020-03-01T18:43:20.366+01:00
Start cooking, 1, 2020-03-01T18:43:20.378+01:00
Start cooking, 1, 2020-03-01T18:43:20.389+01:00
Start cooking, 1, 2020-03-01T18:43:20.399+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.412+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.423+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.433+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.443+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.455+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.466+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.478+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.489+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.502+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:43:20.513+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.524+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.536+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.549+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.559+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.570+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.582+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:43:20.594+01:00
