Event, Value, Timestamp
Start marker, 1, 2020-03-01T18:52:02.889+01:00
Dinner time, 1, 2020-03-01T18:52:03.827+01:00
Dinner time, 1, 2020-03-01T18:52:03.839+01:00
Dinner time, 1, 2020-03-01T18:52:03.850+01:00
Dinner time, 1, 2020-03-01T18:52:03.862+01:00
Dinner time, 1, 2020-03-01T18:52:03.872+01:00
Dinner time, 1, 2020-03-01T18:52:03.883+01:00
Dinner time, 1, 2020-03-01T18:52:03.893+01:00
Dinner time, 1, 2020-03-01T18:52:03.915+01:00
Dinner time, 1, 2020-03-01T18:52:03.926+01:00
Family is hungry, 1, 2020-03-01T18:52:03.936+01:00
Family is hungry, 1, 2020-03-01T18:52:03.947+01:00
Family is hungry, 1, 2020-03-01T18:52:03.958+01:00
Family is hungry, 1, 2020-03-01T18:52:03.969+01:00
Family is hungry, 1, 2020-03-01T18:52:03.980+01:00
Family is hungry, 1, 2020-03-01T18:52:03.991+01:00
Family is hungry, 1, 2020-03-01T18:52:04.002+01:00
Family is hungry, 1, 2020-03-01T18:52:04.014+01:00
Family is hungry, 1, 2020-03-01T18:52:04.026+01:00
Family is hungry, 1, 2020-03-01T18:52:04.037+01:00
Start cooking, 1, 2020-03-01T18:52:04.049+01:00
Start cooking, 1, 2020-03-01T18:52:04.059+01:00
Start cooking, 1, 2020-03-01T18:52:04.070+01:00
Start cooking, 1, 2020-03-01T18:52:04.081+01:00
Start cooking, 1, 2020-03-01T18:52:04.092+01:00
Start cooking, 1, 2020-03-01T18:52:04.103+01:00
Start cooking, 1, 2020-03-01T18:52:04.114+01:00
Start cooking, 1, 2020-03-01T18:52:04.127+01:00
Start cooking, 1, 2020-03-01T18:52:04.138+01:00
Start cooking, 1, 2020-03-01T18:52:04.151+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.164+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.176+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.187+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.198+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.208+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.221+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.232+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.243+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.256+01:00
Cooking Table Setup for Batter, 1, 2020-03-01T18:52:04.269+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.281+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.292+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.304+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.315+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.326+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.337+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.349+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.361+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.373+01:00
Cooking Table Setup for Beans, 1, 2020-03-01T18:52:04.385+01:00
Beans washed, 1, 2020-03-01T18:52:04.396+01:00
Beans washed, 1, 2020-03-01T18:52:04.407+01:00
Beans washed, 1, 2020-03-01T18:52:04.420+01:00
Beans washed, 1, 2020-03-01T18:52:04.432+01:00
Beans washed, 1, 2020-03-01T18:52:04.445+01:00
Beans washed, 1, 2020-03-01T18:52:04.457+01:00
Beans washed, 1, 2020-03-01T18:52:04.469+01:00
Beans washed, 1, 2020-03-01T18:52:04.481+01:00
Beans washed, 1, 2020-03-01T18:52:04.494+01:00
Beans washed, 1, 2020-03-01T18:52:04.505+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.518+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.529+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.541+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.553+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.565+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.577+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.590+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.601+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.611+01:00
Flower with eggs mixed, 1, 2020-03-01T18:52:04.623+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.636+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.648+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.659+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.670+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.682+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.695+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.707+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.720+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.732+01:00
Beans thread removed, 1, 2020-03-01T18:52:04.743+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.754+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.767+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.779+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.790+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.800+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.812+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.824+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.837+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.848+01:00
Seasoned with salt and pepper, 1, 2020-03-01T18:52:04.859+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.870+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.881+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.892+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.903+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.913+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.923+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.936+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.948+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.960+01:00
Pods are cut in half, 1, 2020-03-01T18:52:04.970+01:00
Cold water added, 1, 2020-03-01T18:52:04.982+01:00
Cold water added, 1, 2020-03-01T18:52:04.995+01:00
Cold water added, 1, 2020-03-01T18:52:05.007+01:00
Cold water added, 1, 2020-03-01T18:52:05.017+01:00
Cold water added, 1, 2020-03-01T18:52:05.029+01:00
Cold water added, 1, 2020-03-01T18:52:05.041+01:00
Cold water added, 1, 2020-03-01T18:52:05.052+01:00
Cold water added, 1, 2020-03-01T18:52:05.065+01:00
Cold water added, 1, 2020-03-01T18:52:05.076+01:00
Cold water added, 1, 2020-03-01T18:52:05.088+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.101+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.112+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.123+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.136+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.149+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.159+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.172+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.182+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.193+01:00
Beans are cooked, 1, 2020-03-01T18:52:05.205+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.216+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.226+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.238+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.250+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.262+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.274+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.287+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.299+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.310+01:00
Beans are drained from any water, 1, 2020-03-01T18:52:05.321+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.332+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.343+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.354+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.366+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.377+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.389+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.401+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.414+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.425+01:00
Passed pods through batter, 1, 2020-03-01T18:52:05.435+01:00
Pods are fried, 1, 2020-03-01T18:52:05.447+01:00
Pods are fried, 1, 2020-03-01T18:52:05.458+01:00
Pods are fried, 1, 2020-03-01T18:52:05.470+01:00
Pods are fried, 1, 2020-03-01T18:52:05.481+01:00
Pods are fried, 1, 2020-03-01T18:52:05.493+01:00
Pods are fried, 1, 2020-03-01T18:52:05.503+01:00
Pods are fried, 1, 2020-03-01T18:52:05.516+01:00
Pods are fried, 1, 2020-03-01T18:52:05.527+01:00
Pods are fried, 1, 2020-03-01T18:52:05.540+01:00
Pods are fried, 1, 2020-03-01T18:52:05.551+01:00
