Event, Value, Timestamp
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.844Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.895Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.905Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.916Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.928Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.940Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.950Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.962Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.973Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:59:57.985Z
Washing up Beans, 1, 2020-02-28T00:59:58.020Z
Washing up Beans, 1, 2020-02-28T00:59:58.031Z
Washing up Beans, 1, 2020-02-28T00:59:58.044Z
Washing up Beans, 1, 2020-02-28T00:59:58.056Z
Washing up Beans, 1, 2020-02-28T00:59:58.067Z
Washing up Beans, 1, 2020-02-28T00:59:58.080Z
Washing up Beans, 1, 2020-02-28T00:59:58.092Z
Washing up Beans, 1, 2020-02-28T00:59:58.105Z
Washing up Beans, 1, 2020-02-28T00:59:58.116Z
Washing up Beans, 1, 2020-02-28T00:59:58.129Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.156Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.167Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.178Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.191Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.203Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.214Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.226Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.237Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.250Z
Green beans with no Thread, 1, 2020-02-28T00:59:58.263Z
Cut pods in half, 1, 2020-02-28T00:59:58.290Z
Cut pods in half, 1, 2020-02-28T00:59:58.302Z
Cut pods in half, 1, 2020-02-28T00:59:58.313Z
Cut pods in half, 1, 2020-02-28T00:59:58.324Z
Cut pods in half, 1, 2020-02-28T00:59:58.337Z
Cut pods in half, 1, 2020-02-28T00:59:58.350Z
Cut pods in half, 1, 2020-02-28T00:59:58.360Z
Cut pods in half, 1, 2020-02-28T00:59:58.371Z
