Event, Value, Timestamp
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.605Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.597Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.673Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.673Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.684Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.684Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.695Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.695Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.706Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.706Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.719Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.719Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.729Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.729Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.741Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.741Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.751Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.751Z
Setup Cooking Table for Beans, 1, 2020-02-28T00:52:29.763Z
Setup Cooking Table for batter, 1, 2020-02-28T00:52:29.763Z
Washing up Beans, 1, 2020-02-28T00:52:29.803Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.811Z
Washing up Beans, 1, 2020-02-28T00:52:29.816Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.822Z
Washing up Beans, 1, 2020-02-28T00:52:29.828Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.833Z
Washing up Beans, 1, 2020-02-28T00:52:29.841Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.845Z
Washing up Beans, 1, 2020-02-28T00:52:29.852Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.857Z
Washing up Beans, 1, 2020-02-28T00:52:29.863Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.869Z
Washing up Beans, 1, 2020-02-28T00:52:29.873Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.880Z
Washing up Beans, 1, 2020-02-28T00:52:29.884Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.892Z
Washing up Beans, 1, 2020-02-28T00:52:29.894Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.903Z
Washing up Beans, 1, 2020-02-28T00:52:29.905Z
Mix flower with eggs, 1, 2020-02-28T00:52:29.913Z
Green beans with no Thread, 1, 2020-02-28T00:52:29.952Z
Season Mix, 1, 2020-02-28T00:52:29.962Z
Green beans with no Thread, 1, 2020-02-28T00:52:29.963Z
Season Mix, 1, 2020-02-28T00:52:29.973Z
Green beans with no Thread, 1, 2020-02-28T00:52:29.975Z
Season Mix, 1, 2020-02-28T00:52:29.986Z
Green beans with no Thread, 1, 2020-02-28T00:52:29.987Z
Season Mix, 1, 2020-02-28T00:52:29.998Z
Green beans with no Thread, 1, 2020-02-28T00:52:30.000Z
Season Mix, 1, 2020-02-28T00:52:30.009Z
Green beans with no Thread, 1, 2020-02-28T00:52:30.011Z
Season Mix, 1, 2020-02-28T00:52:30.019Z
Green beans with no Thread, 1, 2020-02-28T00:52:30.022Z
Season Mix, 1, 2020-02-28T00:52:30.029Z
Green beans with no Thread, 1, 2020-02-28T00:52:30.034Z
Season Mix, 1, 2020-02-28T00:52:30.042Z
Green beans with no Thread, 1, 2020-02-28T00:52:30.046Z
Season Mix, 1, 2020-02-28T00:52:30.052Z
Green beans with no Thread, 1, 2020-02-28T00:52:30.056Z
Season Mix, 1, 2020-02-28T00:52:30.065Z
Cut pods in half, 1, 2020-02-28T00:52:30.082Z
Batter with more water, 1, 2020-02-28T00:52:30.093Z
Cut pods in half, 1, 2020-02-28T00:52:30.093Z
Batter with more water, 1, 2020-02-28T00:52:30.104Z
Cut pods in half, 1, 2020-02-28T00:52:30.104Z
Cut pods in half, 1, 2020-02-28T00:52:30.117Z
Batter with more water, 1, 2020-02-28T00:52:30.117Z
Cut pods in half, 1, 2020-02-28T00:52:30.128Z
Batter with more water, 1, 2020-02-28T00:52:30.128Z
Cut pods in half, 1, 2020-02-28T00:52:30.141Z
Batter with more water, 1, 2020-02-28T00:52:30.141Z
Batter with more water, 1, 2020-02-28T00:52:30.153Z
Cut pods in half, 1, 2020-02-28T00:52:30.153Z
Cut pods in half, 1, 2020-02-28T00:52:30.165Z
Batter with more water, 1, 2020-02-28T00:52:30.165Z
Batter with more water, 1, 2020-02-28T00:52:30.178Z
Cut pods in half, 1, 2020-02-28T00:52:30.178Z
Batter with more water, 1, 2020-02-28T00:52:30.190Z
Cut pods in half, 1, 2020-02-28T00:52:30.190Z
Batter with more water, 1, 2020-02-28T00:52:30.201Z
Cook beans, 1, 2020-02-28T00:52:30.217Z
