Event, Value, Timestamp
Start marker, 1, 2020-02-28T00:28:36.966Z
Dinner time, 1, 2020-02-28T00:28:37.873Z
Dinner time, 1, 2020-02-28T00:28:37.884Z
Dinner time, 1, 2020-02-28T00:28:37.894Z
Dinner time, 1, 2020-02-28T00:28:37.905Z
Dinner time, 1, 2020-02-28T00:28:37.916Z
Dinner time, 1, 2020-02-28T00:28:37.926Z
Dinner time, 1, 2020-02-28T00:28:37.938Z
Dinner time, 1, 2020-02-28T00:28:37.948Z
Dinner time, 1, 2020-02-28T00:28:37.958Z
Dinner time, 1, 2020-02-28T00:28:37.969Z
Family is hungry, 1, 2020-02-28T00:28:37.979Z
Family is hungry, 1, 2020-02-28T00:28:37.990Z
Family is hungry, 1, 2020-02-28T00:28:38.000Z
Family is hungry, 1, 2020-02-28T00:28:38.010Z
Family is hungry, 1, 2020-02-28T00:28:38.021Z
Family is hungry, 1, 2020-02-28T00:28:38.031Z
Family is hungry, 1, 2020-02-28T00:28:38.042Z
Family is hungry, 1, 2020-02-28T00:28:38.052Z
Family is hungry, 1, 2020-02-28T00:28:38.063Z
Family is hungry, 1, 2020-02-28T00:28:38.075Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.088Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.100Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.110Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.121Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.133Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.145Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.157Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.168Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.178Z
Cooking Table Setup for Batter, 1, 2020-02-28T00:28:38.191Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.204Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.215Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.226Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.240Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.250Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.262Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.272Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.285Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.295Z
Cooking Table Setup for Beans, 1, 2020-02-28T00:28:38.307Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.319Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.329Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.341Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.354Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.365Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.375Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.388Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.399Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.410Z
Flower with eggs mixed, 1, 2020-02-28T00:28:38.420Z
Beans washed, 1, 2020-02-28T00:28:38.431Z
Beans washed, 1, 2020-02-28T00:28:38.442Z
Beans washed, 1, 2020-02-28T00:28:38.454Z
Beans washed, 1, 2020-02-28T00:28:38.465Z
Beans washed, 1, 2020-02-28T00:28:38.475Z
Beans washed, 1, 2020-02-28T00:28:38.486Z
Beans washed, 1, 2020-02-28T00:28:38.496Z
Beans washed, 1, 2020-02-28T00:28:38.508Z
Beans washed, 1, 2020-02-28T00:28:38.520Z
Beans washed, 1, 2020-02-28T00:28:38.532Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.544Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.555Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.566Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.578Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.589Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.600Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.610Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.621Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.634Z
Seasoned with salt and pepper, 1, 2020-02-28T00:28:38.644Z
Beans thread removed, 1, 2020-02-28T00:28:38.655Z
Beans thread removed, 1, 2020-02-28T00:28:38.666Z
Beans thread removed, 1, 2020-02-28T00:28:38.676Z
Beans thread removed, 1, 2020-02-28T00:28:38.686Z
Beans thread removed, 1, 2020-02-28T00:28:38.697Z
Beans thread removed, 1, 2020-02-28T00:28:38.710Z
Beans thread removed, 1, 2020-02-28T00:28:38.720Z
Beans thread removed, 1, 2020-02-28T00:28:38.733Z
Beans thread removed, 1, 2020-02-28T00:28:38.745Z
Beans thread removed, 1, 2020-02-28T00:28:38.758Z
Cold water added, 1, 2020-02-28T00:28:38.771Z
Cold water added, 1, 2020-02-28T00:28:38.782Z
Cold water added, 1, 2020-02-28T00:28:38.794Z
Cold water added, 1, 2020-02-28T00:28:38.807Z
Cold water added, 1, 2020-02-28T00:28:38.818Z
Cold water added, 1, 2020-02-28T00:28:38.831Z
Cold water added, 1, 2020-02-28T00:28:38.841Z
Cold water added, 1, 2020-02-28T00:28:38.854Z
Cold water added, 1, 2020-02-28T00:28:38.865Z
Cold water added, 1, 2020-02-28T00:28:38.876Z
Pods are cut in half, 1, 2020-02-28T00:28:38.888Z
Pods are cut in half, 1, 2020-02-28T00:28:38.898Z
Pods are cut in half, 1, 2020-02-28T00:28:38.910Z
Pods are cut in half, 1, 2020-02-28T00:28:38.921Z
Pods are cut in half, 1, 2020-02-28T00:28:38.933Z
Pods are cut in half, 1, 2020-02-28T00:28:38.944Z
Pods are cut in half, 1, 2020-02-28T00:28:38.955Z
Pods are cut in half, 1, 2020-02-28T00:28:38.965Z
Pods are cut in half, 1, 2020-02-28T00:28:38.976Z
Pods are cut in half, 1, 2020-02-28T00:28:38.988Z
Beans are cooked, 1, 2020-02-28T00:28:39.000Z
Beans are cooked, 1, 2020-02-28T00:28:39.011Z
Beans are cooked, 1, 2020-02-28T00:28:39.022Z
Beans are cooked, 1, 2020-02-28T00:28:39.033Z
Beans are cooked, 1, 2020-02-28T00:28:39.045Z
Beans are cooked, 1, 2020-02-28T00:28:39.056Z
Beans are cooked, 1, 2020-02-28T00:28:39.066Z
Beans are cooked, 1, 2020-02-28T00:28:39.078Z
Beans are cooked, 1, 2020-02-28T00:28:39.089Z
Beans are cooked, 1, 2020-02-28T00:28:39.099Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.110Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.121Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.131Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.144Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.156Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.167Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.179Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.191Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.202Z
Beans are drained from any water, 1, 2020-02-28T00:28:39.214Z
Passed pods through batter, 1, 2020-02-28T00:28:39.225Z
Passed pods through batter, 1, 2020-02-28T00:28:39.238Z
Passed pods through batter, 1, 2020-02-28T00:28:39.250Z
Passed pods through batter, 1, 2020-02-28T00:28:39.260Z
Passed pods through batter, 1, 2020-02-28T00:28:39.272Z
Passed pods through batter, 1, 2020-02-28T00:28:39.284Z
Passed pods through batter, 1, 2020-02-28T00:28:39.296Z
Passed pods through batter, 1, 2020-02-28T00:28:39.306Z
Passed pods through batter, 1, 2020-02-28T00:28:39.319Z
Passed pods through batter, 1, 2020-02-28T00:28:39.330Z
Pods are fried, 1, 2020-02-28T00:28:39.343Z
Pods are fried, 1, 2020-02-28T00:28:39.354Z
Pods are fried, 1, 2020-02-28T00:28:39.365Z
Pods are fried, 1, 2020-02-28T00:28:39.377Z
Pods are fried, 1, 2020-02-28T00:28:39.387Z
Pods are fried, 1, 2020-02-28T00:28:39.400Z
Pods are fried, 1, 2020-02-28T00:28:39.410Z
Pods are fried, 1, 2020-02-28T00:28:39.423Z
Pods are fried, 1, 2020-02-28T00:28:39.434Z
Pods are fried, 1, 2020-02-28T00:28:39.445Z
